Samples    property    nMgO    metal_coord    HL_gap    pdos_c    pdos_w    av_d    O_Mc    ratio_Mg_Si_cluster    Q_1    Q_2    Q_3    Q_4    Q_5    Q_6
H-MgO_16_SiO2_8_Andreas_0-site39    0.882    16    2    3.688    -1.363    1.409    1.767    -0.592    2.0    0.638    0.525    0.794    0.791    0.595    0.667
H-MgO_16_SiO2_8_Andreas_0-site40    0.212    16    3    3.688    -2.596    1.449    1.901    -0.716    2.0    0.476    0.249    0.674    0.675    0.501    0.535
H-MgO_16_SiO2_8_Andreas_0-site44    1.282    16    2    3.688    -1.514    1.406    1.773    -0.638    2.0    0.601    0.555    0.826    0.745    0.572    0.736
H-MgO_16_SiO2_8_Andreas_0-site46    1.386    16    3    3.688    -0.817    0.771    1.935    -0.977    2.0    0.415    0.277    0.727    0.649    0.414    0.584
H-MgO_16_SiO2_8_Andreas_0-site52    0.762    16    2    3.688    -1.403    1.333    1.75    -0.65    2.0    0.658    0.513    0.773    0.809    0.62    0.633
H-MgO_16_SiO2_8_Andreas_1-site13    0.823    16    3    3.074    -2.441    1.428    1.948    -0.649    2.0    0.511    0.168    0.657    0.719    0.482    0.479
H-MgO_16_SiO2_8_Andreas_1-site2    1.46    16    2    3.074    -2.135    1.365    1.794    -0.613    2.0    0.678    0.505    0.748    0.822    0.654    0.604
H-MgO_16_SiO2_8_Andreas_1-site27    0.74    16    3    3.074    -2.708    1.426    1.944    -0.713    2.0    0.506    0.202    0.653    0.704    0.512    0.494
H-MgO_16_SiO2_8_Andreas_1-site29    1.708    16    3    3.074    -0.76    0.908    1.925    -0.973    2.0    0.312    0.433    0.714    0.545    0.56    0.589
H-MgO_16_SiO2_8_Andreas_1-site31    0.812    16    2    3.074    -2.808    1.385    1.741    -0.681    2.0    0.608    0.549    0.821    0.755    0.573    0.724
H-MgO_16_SiO2_8_Andreas_1-site37    1.102    16    2    3.074    -1.843    1.367    1.763    -0.625    2.0    0.66    0.512    0.771    0.81    0.623    0.629
H-MgO_16_SiO2_8_Andreas_1-site38    0.785    16    2    3.074    -2.173    1.392    1.763    -0.654    2.0    0.615    0.543    0.815    0.764    0.576    0.711
H-MgO_16_SiO2_8_Andreas_1-site39    1.392    16    3    3.074    -1.401    0.814    1.919    -1.007    2.0    0.392    0.352    0.699    0.623    0.524    0.53
H-MgO_16_SiO2_8_Andreas_1-site42    1.15    16    2    3.074    -1.688    1.389    1.798    -0.581    2.0    0.711    0.5    0.701    0.829    0.714    0.587
H-MgO_16_SiO2_8_Andreas_2-site13    0.187    16    3    2.831    -3.526    1.614    1.936    -0.754    2.0    0.423    0.513    0.438    0.708    0.666    0.381
H-MgO_16_SiO2_8_Andreas_2-site23    0.963    16    3    2.831    -2.661    1.443    1.873    -0.666    2.0    0.438    0.281    0.708    0.642    0.455    0.6
H-MgO_16_SiO2_8_Andreas_2-site25    0.755    16    3    2.831    -2.8    1.509    1.859    -0.671    2.0    0.396    0.329    0.717    0.62    0.481    0.58
H-MgO_16_SiO2_8_Andreas_2-site27    1.437    16    2    2.831    -1.537    1.349    1.778    -0.623    2.0    0.677    0.505    0.75    0.821    0.651    0.605
H-MgO_16_SiO2_8_Andreas_2-site33    0.671    16    3    2.831    -3.466    1.688    1.877    -0.673    2.0    0.342    0.5    0.556    0.691    0.591    0.365
H-MgO_16_SiO2_8_Andreas_2-site4    1.83    16    3    2.831    -1.224    0.784    1.934    -0.928    2.0    0.501    0.162    0.667    0.723    0.464    0.468
H-MgO_16_SiO2_8_Andreas_2-site47    1.893    16    3    2.831    -0.94    0.8    1.939    -0.94    2.0    0.501    0.136    0.672    0.734    0.444    0.445
H-MgO_16_SiO2_8_Andreas_2-site51    1.239    16    2    2.831    -1.851    1.407    1.77    -0.602    2.0    0.64    0.524    0.793    0.793    0.596    0.664
H-MgO_16_SiO2_8_Andreas_3-site12    0.589    16    3    3.341    -2.767    1.525    1.872    -0.721    2.0    0.267    0.428    0.758    0.511    0.5    0.659
H-MgO_16_SiO2_8_Andreas_3-site13    1.094    16    2    3.341    -1.589    1.473    1.758    -0.635    2.0    0.494    0.669    0.846    0.588    0.685    0.811
H-MgO_16_SiO2_8_Andreas_3-site18    0.873    16    2    3.341    -2.185    1.415    1.762    -0.606    2.0    0.625    0.535    0.807    0.776    0.582    0.692
H-MgO_16_SiO2_8_Andreas_3-site29    0.159    16    3    3.341    -3.102    1.474    1.876    -0.695    2.0    0.256    0.436    0.757    0.507    0.504    0.654
H-MgO_16_SiO2_8_Andreas_3-site33    1.337    16    2    3.341    -1.864    1.4    1.751    -0.624    2.0    0.644    0.521    0.788    0.797    0.601    0.656
H-MgO_16_SiO2_8_Andreas_3-site34    1.328    16    2    3.341    -1.099    1.379    1.784    -0.597    2.0    0.664    0.51    0.766    0.813    0.629    0.623
H-MgO_16_SiO2_8_Andreas_3-site37    0.159    16    3    3.341    -3.516    1.621    1.919    -0.76    2.0    0.504    0.159    0.665    0.725    0.468    0.463
H-MgO_16_SiO2_8_Andreas_3-site39    0.95    16    2    3.341    -2.702    1.426    1.775    -0.635    2.0    0.614    0.544    0.816    0.762    0.575    0.713
H-MgO_16_SiO2_8_Andreas_3-site40    0.335    16    3    3.341    -3.523    1.457    1.894    -0.767    2.0    0.423    0.275    0.722    0.649    0.424    0.587
H-MgO_16_SiO2_8_Andreas_3-site43    0.484    16    3    3.341    -3.111    1.553    1.877    -0.679    2.0    0.316    0.428    0.719    0.539    0.557    0.606
H-MgO_16_SiO2_8_Andreas_3-site44    1.806    16    2    3.341    -2.555    1.448    1.781    -0.731    2.0    0.496    0.666    0.847    0.591    0.682    0.812
H-MgO_16_SiO2_8_Andreas_3-site46    1.413    16    3    3.341    -1.015    0.79    1.923    -0.972    2.0    0.406    0.279    0.737    0.645    0.39    0.598
H-MgO_16_SiO2_8_Andreas_3-site52    1.154    16    2    3.341    -1.531    1.339    1.778    -0.649    2.0    0.693    0.501    0.728    0.827    0.68    0.591
H-MgO_16_SiO2_8_Escatllar-site22    1.016    16    2    3.389    -1.998    1.396    1.758    -0.646    2.0    0.638    0.525    0.795    0.791    0.594    0.668
H-MgO_16_SiO2_8_Escatllar-site23    0.356    16    2    3.389    -2.207    1.411    1.762    -0.601    2.0    0.516    0.643    0.85    0.619    0.648    0.816
H-MgO_16_SiO2_8_Escatllar-site3    0.985    16    2    3.389    -2.081    1.417    1.739    -0.678    2.0    0.552    0.603    0.848    0.673    0.599    0.8
H-MgO_16_SiO2_8_Escatllar-site32    0.113    16    3    3.389    -3.164    1.547    1.904    -0.788    2.0    0.155    0.566    0.642    0.53    0.653    0.482
H-MgO_16_SiO2_8_Escatllar-site33    0.97    16    2    3.389    -2.215    1.411    1.763    -0.673    2.0    0.583    0.572    0.836    0.72    0.575    0.764
H-MgO_16_SiO2_8_Escatllar-site34    0.89    16    2    3.389    -1.726    1.445    1.759    -0.625    2.0    0.546    0.61    0.849    0.663    0.606    0.805
H-MgO_16_SiO2_8_Escatllar-site35    0.111    16    2    3.389    -3.061    1.869    1.676    -0.377    2.0    0.659    0.513    0.772    0.81    0.621    0.631
H-MgO_16_SiO2_8_Escatllar-site49    0.79    16    2    3.389    -1.633    1.473    1.743    -0.573    2.0    0.534    0.623    0.85    0.645    0.622    0.812
H-MgO_16_SiO2_8_Escatllar-site50    1.439    16    3    3.389    -1.439    0.842    1.922    -1.011    2.0    0.337    0.388    0.723    0.594    0.498    0.557
H-MgO_16_SiO2_8_Escatllar-site51    0.83    16    2    3.389    -1.739    1.448    1.769    -0.579    2.0    0.578    0.577    0.839    0.712    0.577    0.772
H-MgO_16_SiO2_8_Escatllar-site53    0.431    16    3    3.389    -2.88    1.466    1.907    -0.724    2.0    0.358    0.4    0.71    0.557    0.551    0.616
H-MgO_16_SiO2_8_Escatllar-site55    0.903    16    2    3.389    -1.862    1.375    1.755    -0.67    2.0    0.61    0.547    0.819    0.758    0.574    0.72
H-MgO_16_SiO2_8_Escatllar-site9    0.681    16    3    3.389    -2.485    1.573    1.874    -0.627    2.0    0.423    0.333    0.68    0.637    0.546    0.516
H-MgO_18_SiO2_9_Escatllar-site0    0.805    18    2    3.534    -1.752    1.472    1.758    -0.625    2.0    0.523    0.635    0.851    0.629    0.637    0.815
H-MgO_18_SiO2_9_Escatllar-site16    0.586    18    2    3.534    -2.36    1.509    1.755    -0.731    2.0    0.371    0.803    0.753    0.554    0.836    0.63
H-MgO_18_SiO2_9_Escatllar-site20    0.913    18    2    3.534    -1.678    1.452    1.748    -0.678    2.0    0.504    0.657    0.849    0.602    0.668    0.815
H-MgO_18_SiO2_9_Escatllar-site27    1.032    18    2    3.534    -1.216    1.347    1.781    -0.625    2.0    0.709    0.5    0.704    0.829    0.711    0.586
H-MgO_18_SiO2_9_Escatllar-site32    0.428    18    3    3.534    -2.238    1.485    1.893    -0.662    2.0    0.384    0.37    0.714    0.567    0.525    0.644
H-MgO_18_SiO2_9_Escatllar-site4    1.028    18    2    3.534    -1.681    1.375    1.751    -0.643    2.0    0.635    0.528    0.798    0.787    0.591    0.674
H-MgO_18_SiO2_9_Escatllar-site45    1.339    18    3    3.534    -1.123    0.86    1.946    -1.028    2.0    0.351    0.39    0.71    0.596    0.524    0.546
H-MgO_18_SiO2_9_Escatllar-site48    0.559    18    3    3.534    -2.363    1.45    1.911    -0.686    2.0    0.409    0.326    0.716    0.606    0.481    0.629
H-MgO_18_SiO2_9_Escatllar-site56    0.821    18    2    3.534    -2.147    1.377    1.746    -0.642    2.0    0.607    0.55    0.822    0.753    0.573    0.726
H-MgO_18_SiO2_9_Escatllar-site57    0.341    18    3    3.534    -3.021    1.532    1.873    -0.792    2.0    0.31    0.406    0.736    0.564    0.497    0.598
H-MgO_18_SiO2_9_Escatllar-site58    0.97    18    2    3.534    -1.929    1.404    1.758    -0.68    2.0    0.586    0.569    0.835    0.724    0.574    0.76
H-MgO_18_SiO2_9_Escatllar-site60    0.725    18    2    3.534    -2.031    1.442    1.76    -0.65    2.0    0.532    0.625    0.85    0.642    0.624    0.813
H-MgO_20_SiO2_10_Escatllar-site1    0.988    20    3    3.292    -2.619    1.407    1.879    -0.686    2.0    0.473    0.211    0.692    0.694    0.438    0.528
H-MgO_20_SiO2_10_Escatllar-site10    1.091    20    2    3.292    -1.953    1.439    1.744    -0.663    2.0    0.546    0.61    0.849    0.663    0.606    0.805
H-MgO_20_SiO2_10_Escatllar-site11    1.151    20    2    3.292    -1.472    1.337    1.783    -0.617    2.0    0.685    0.503    0.739    0.825    0.666    0.597
H-MgO_20_SiO2_10_Escatllar-site2    0.58    20    3    3.292    -2.61    1.582    1.87    -0.676    2.0    0.314    0.417    0.734    0.53    0.536    0.637
H-MgO_20_SiO2_10_Escatllar-site22    1.175    20    2    3.292    -1.546    1.333    1.782    -0.614    2.0    0.692    0.501    0.729    0.827    0.679    0.591
H-MgO_20_SiO2_10_Escatllar-site34    0.599    20    3    3.292    -2.534    1.537    1.914    -0.747    2.0    0.389    0.36    0.704    0.602    0.525    0.576
H-MgO_20_SiO2_10_Escatllar-site36    1.688    20    3    3.292    -0.77    0.822    1.953    -0.938    2.0    0.478    0.194    0.687    0.706    0.443    0.498
H-MgO_20_SiO2_10_Escatllar-site4    1.297    20    2    3.292    -1.929    1.44    1.741    -0.656    2.0    0.571    0.584    0.842    0.702    0.581    0.781
H-MgO_20_SiO2_10_Escatllar-site53    0.521    20    3    3.292    -2.895    1.507    1.87    -0.72    2.0    0.39    0.3    0.742    0.628    0.398    0.612
H-MgO_20_SiO2_10_Escatllar-site57    1.48    20    3    3.292    -0.891    0.769    1.9    -0.984    2.0    0.433    0.265    0.713    0.663    0.437    0.556
H-MgO_20_SiO2_10_Escatllar-site6    0.435    20    2    3.292    -3.047    1.991    1.664    -0.366    2.0    0.516    0.644    0.85    0.618    0.649    0.816
H-MgO_20_SiO2_10_Escatllar-site68    1.271    20    2    3.292    -1.869    1.48    1.77    -0.621    2.0    0.542    0.615    0.85    0.657    0.611    0.808
H-MgO_20_SiO2_10_Escatllar-site69    1.204    20    2    3.292    -1.651    1.446    1.753    -0.608    2.0    0.553    0.603    0.847    0.674    0.598    0.8
H-MgO_3_SiO2_3_Andreas_0-site1    1.537    3    2    2.923    -2.532    1.393    1.742    -0.62    1.0    0.642    0.523    0.791    0.794    0.598    0.661
H-MgO_3_SiO2_3_Andreas_0-site10    1.781    3    2    2.923    -1.772    1.445    1.775    -0.534    1.0    0.614    0.544    0.816    0.763    0.575    0.713
H-MgO_3_SiO2_3_Andreas_0-site3    1.779    3    2    2.923    -1.768    1.444    1.775    -0.534    1.0    0.614    0.543    0.816    0.763    0.575    0.713
H-MgO_3_SiO2_3_Andreas_0-site4    1.538    3    2    2.923    -2.537    1.394    1.741    -0.621    1.0    0.64    0.524    0.792    0.793    0.597    0.663
H-MgO_3_SiO2_3_Andreas_0-site5    1.953    3    2    2.923    -1.491    1.44    1.757    -0.576    1.0    0.585    0.569    0.835    0.723    0.574    0.761
H-MgO_3_SiO2_3_Andreas_0-site6    0.495    3    3    2.923    -4.134    2.259    1.89    -0.483    1.0    0.272    0.535    0.648    0.461    0.709    0.552
H-MgO_3_SiO2_3_Andreas_0-site7    1.153    3    2    2.923    -3.296    1.89    1.678    -0.369    1.0    0.67    0.508    0.759    0.817    0.639    0.614
H-MgO_3_SiO2_3_Andreas_0-site8    1.893    3    2    2.923    -2.104    1.44    1.736    -0.595    1.0    0.58    0.575    0.838    0.716    0.576    0.769
H-MgO_3_SiO2_3_Andreas_0-site9    1.89    3    2    2.923    -2.106    1.44    1.736    -0.595    1.0    0.579    0.575    0.838    0.714    0.576    0.77
H-MgO_3_SiO2_3_Escatllar-site0    1.633    3    2    3.164    -1.68    1.452    1.752    -0.559    1.0    0.591    0.564    0.832    0.732    0.572    0.752
H-MgO_3_SiO2_3_Escatllar-site13    1.716    3    2    3.164    -1.978    1.46    1.745    -0.588    1.0    0.55    0.606    0.848    0.67    0.601    0.802
H-MgO_3_SiO2_3_Escatllar-site5    1.674    3    2    3.164    -1.949    1.415    1.752    -0.598    1.0    0.627    0.533    0.805    0.779    0.584    0.688
H-MgO_3_SiO2_3_Escatllar-site6    1.577    3    2    3.164    -2.064    1.433    1.764    -0.54    1.0    0.618    0.54    0.812    0.769    0.578    0.704
H-MgO_3_SiO2_3_Escatllar-site8    0.934    3    2    3.164    -3.613    1.873    1.681    -0.399    1.0    0.673    0.507    0.755    0.819    0.645    0.61
H-MgO_4_SiO2_2_Andreas_0-site0    1.781    4    2    2.628    -1.809    1.463    1.755    -0.568    2.0    0.598    0.558    0.828    0.741    0.572    0.741
H-MgO_4_SiO2_2_Andreas_0-site13    1.995    4    2    2.628    -1.698    1.421    1.766    -0.571    2.0    0.68    0.504    0.745    0.823    0.657    0.601
H-MgO_4_SiO2_2_Andreas_0-site3    1.653    4    2    2.628    -1.981    1.382    1.754    -0.608    2.0    0.66    0.512    0.77    0.811    0.624    0.628
H-MgO_4_SiO2_2_Andreas_0-site7    1.976    4    2    2.628    -1.824    1.388    1.776    -0.585    2.0    0.717    0.501    0.692    0.828    0.726    0.589
H-MgO_4_SiO2_2_Andreas_0-site8    2.114    4    3    2.628    -1.698    0.813    1.956    -0.902    2.0    0.508    0.189    0.653    0.711    0.504    0.485
H-MgO_4_SiO2_2_Andreas_0-site9    1.586    4    2    2.628    -2.129    1.362    1.759    -0.649    2.0    0.666    0.51    0.764    0.815    0.632    0.62
H-MgO_4_SiO2_2_Andreas_1-site2    2.564    4    3    2.202    -1.601    0.811    1.95    -0.845    2.0    0.549    0.065    0.617    0.757    0.524    0.378
H-MgO_4_SiO2_2_Andreas_2-site1    2.281    4    2    2.784    -1.885    1.384    1.77    -0.63    2.0    0.679    0.504    0.746    0.822    0.656    0.602
H-MgO_4_SiO2_2_Andreas_2-site10    1.758    4    3    2.784    -2.109    1.506    1.878    -0.608    2.0    0.557    0.147    0.603    0.729    0.554    0.456
H-MgO_4_SiO2_2_Andreas_2-site11    1.979    4    2    2.784    -1.363    1.371    1.778    -0.567    2.0    0.731    0.503    0.67    0.824    0.75    0.599
H-MgO_4_SiO2_2_Andreas_2-site4    2.117    4    3    2.784    -1.535    0.827    1.968    -0.901    2.0    0.522    0.173    0.64    0.718    0.516    0.473
H-MgO_4_SiO2_2_Andreas_2-site8    1.748    4    2    2.784    -1.748    1.418    1.756    -0.66    2.0    0.607    0.55    0.821    0.754    0.573    0.726
H-MgO_4_SiO2_2_Escatllar-site10    1.865    4    3    2.937    -1.614    0.81    1.953    -0.938    2.0    0.474    0.336    0.623    0.64    0.627    0.499
H-MgO_4_SiO2_2_Escatllar-site11    2.028    4    2    2.937    -1.38    1.403    1.775    -0.579    2.0    0.716    0.5    0.694    0.828    0.723    0.588
H-MgO_4_SiO2_2_Escatllar-site2    1.17    4    3    2.937    -3.191    2.239    1.85    -0.408    2.0    0.397    0.526    0.426    0.742    0.616    0.401
H-MgO_4_SiO2_2_Escatllar-site3    2.029    4    2    2.937    -1.38    1.403    1.775    -0.579    2.0    0.715    0.5    0.694    0.829    0.723    0.588
H-MgO_4_SiO2_4_Andreas_0-site11    1.834    4    2    3.011    -1.582    1.404    1.76    -0.572    1.0    0.642    0.522    0.79    0.795    0.599    0.66
H-MgO_4_SiO2_4_Andreas_0-site14    1.419    4    2    3.011    -1.893    1.372    1.755    -0.601    1.0    0.675    0.506    0.752    0.82    0.648    0.607
H-MgO_4_SiO2_4_Andreas_0-site15    1.854    4    2    3.011    -1.805    1.417    1.753    -0.588    1.0    0.655    0.515    0.777    0.806    0.615    0.638
H-MgO_4_SiO2_4_Andreas_0-site16    0.991    4    2    3.011    -3.511    2.045    1.722    -0.387    1.0    0.485    0.679    0.843    0.577    0.7    0.805
H-MgO_4_SiO2_4_Andreas_0-site19    1.354    4    2    3.011    -1.986    1.506    1.733    -0.594    1.0    0.471    0.695    0.838    0.562    0.723    0.794
H-MgO_4_SiO2_4_Andreas_0-site3    1.651    4    2    3.011    -2.26    1.446    1.74    -0.597    1.0    0.577    0.578    0.839    0.711    0.578    0.773
H-MgO_4_SiO2_4_Andreas_0-site7    1.787    4    2    3.011    -1.979    1.366    1.753    -0.611    1.0    0.643    0.522    0.789    0.796    0.6    0.657
H-MgO_4_SiO2_4_Andreas_0-site9    1.84    4    2    3.011    -1.988    1.388    1.75    -0.575    1.0    0.69    0.502    0.732    0.827    0.675    0.592
H-MgO_4_SiO2_4_Andreas_1-site1    1.512    4    2    3.039    -1.616    1.422    1.74    -0.596    1.0    0.583    0.572    0.836    0.72    0.575    0.764
H-MgO_4_SiO2_4_Andreas_1-site11    1.811    4    2    3.039    -2.184    1.436    1.73    -0.595    1.0    0.562    0.593    0.845    0.688    0.589    0.791
H-MgO_4_SiO2_4_Andreas_1-site12    1.724    4    2    3.039    -1.622    1.409    1.75    -0.566    1.0    0.628    0.532    0.804    0.78    0.584    0.686
H-MgO_4_SiO2_4_Andreas_1-site13    1.724    4    2    3.039    -1.629    1.409    1.749    -0.566    1.0    0.628    0.533    0.805    0.779    0.584    0.687
H-MgO_4_SiO2_4_Andreas_1-site14    1.516    4    2    3.039    -1.615    1.424    1.74    -0.597    1.0    0.58    0.575    0.838    0.716    0.576    0.769
H-MgO_4_SiO2_4_Andreas_1-site15    1.544    4    2    3.039    -2.464    1.418    1.728    -0.648    1.0    0.568    0.587    0.843    0.697    0.584    0.785
H-MgO_4_SiO2_4_Andreas_1-site2    0.802    4    2    3.039    -3.037    2.02    1.671    -0.321    1.0    0.503    0.658    0.848    0.6    0.67    0.814
H-MgO_4_SiO2_4_Andreas_1-site6    1.654    4    2    3.039    -1.454    1.39    1.759    -0.616    1.0    0.672    0.507    0.756    0.819    0.643    0.611
H-MgO_4_SiO2_4_Andreas_1-site7    0.801    4    2    3.039    -3.028    2.02    1.67    -0.318    1.0    0.504    0.657    0.849    0.601    0.668    0.815
H-MgO_4_SiO2_4_Andreas_1-site8    1.653    4    2    3.039    -1.459    1.389    1.759    -0.617    1.0    0.672    0.507    0.756    0.818    0.642    0.612
H-MgO_4_SiO2_4_Andreas_2-site0    1.897    4    2    3.333    -2.875    1.432    1.74    -0.558    1.0    0.521    0.638    0.851    0.625    0.641    0.816
H-MgO_4_SiO2_4_Andreas_2-site10    1.451    4    2    3.333    -1.508    1.372    1.758    -0.613    1.0    0.682    0.504    0.743    0.824    0.661    0.599
H-MgO_4_SiO2_4_Andreas_2-site11    1.45    4    2    3.333    -1.505    1.371    1.758    -0.613    1.0    0.683    0.503    0.742    0.824    0.662    0.599
H-MgO_4_SiO2_4_Andreas_2-site14    1.453    4    2    3.333    -1.505    1.371    1.758    -0.613    1.0    0.682    0.504    0.742    0.824    0.661    0.599
H-MgO_4_SiO2_4_Andreas_2-site16    1.208    4    2    3.333    -1.364    1.438    1.757    -0.572    1.0    0.577    0.578    0.839    0.711    0.578    0.773
H-MgO_4_SiO2_4_Andreas_2-site18    1.21    4    2    3.333    -1.36    1.437    1.758    -0.573    1.0    0.577    0.577    0.839    0.711    0.577    0.773
H-MgO_4_SiO2_4_Andreas_2-site2    1.211    4    2    3.333    -1.36    1.438    1.757    -0.572    1.0    0.577    0.578    0.839    0.711    0.578    0.773
H-MgO_4_SiO2_4_Andreas_2-site3    1.898    4    2    3.333    -2.874    1.431    1.74    -0.559    1.0    0.522    0.637    0.851    0.626    0.64    0.816
H-MgO_4_SiO2_4_Andreas_2-site5    1.897    4    2    3.333    -2.878    1.431    1.74    -0.558    1.0    0.521    0.637    0.851    0.626    0.64    0.816
H-MgO_4_SiO2_4_Andreas_3-site1    1.349    4    2    3.515    -1.776    1.485    1.733    -0.617    1.0    0.481    0.684    0.842    0.573    0.707    0.802
H-MgO_4_SiO2_4_Andreas_3-site13    1.573    4    2    3.515    -1.379    1.364    1.756    -0.539    1.0    0.698    0.5    0.72    0.828    0.691    0.588
H-MgO_4_SiO2_4_Andreas_3-site14    1.605    4    2    3.515    -1.326    1.394    1.766    -0.556    1.0    0.681    0.504    0.745    0.823    0.658    0.601
H-MgO_4_SiO2_4_Andreas_3-site2    0.857    4    2    3.515    -2.939    2.045    1.666    -0.307    1.0    0.492    0.671    0.846    0.586    0.688    0.81
H-MgO_4_SiO2_4_Andreas_3-site6    1.62    4    2    3.515    -1.781    1.392    1.747    -0.61    1.0    0.656    0.514    0.775    0.808    0.618    0.635
H-MgO_4_SiO2_4_Andreas_3-site7    0.824    4    2    3.515    -2.943    2.041    1.665    -0.311    1.0    0.503    0.659    0.848    0.6    0.67    0.814
H-MgO_4_SiO2_4_Andreas_3-site8    1.741    4    2    3.515    -1.624    1.402    1.745    -0.604    1.0    0.645    0.521    0.787    0.798    0.602    0.655
H-MgO_4_SiO2_4_Escatllar-site10    1.709    4    2    3.278    -1.949    1.446    1.741    -0.619    1.0    0.533    0.624    0.85    0.644    0.623    0.812
H-MgO_4_SiO2_4_Escatllar-site11    1.69    4    2    3.278    -1.577    1.406    1.76    -0.58    1.0    0.646    0.52    0.787    0.798    0.603    0.653
H-MgO_4_SiO2_4_Escatllar-site14    1.345    4    2    3.278    -1.806    1.376    1.751    -0.585    1.0    0.666    0.51    0.764    0.815    0.632    0.62
H-MgO_4_SiO2_4_Escatllar-site15    1.373    4    2    3.278    -2.328    1.385    1.754    -0.616    1.0    0.659    0.513    0.772    0.81    0.622    0.631
H-MgO_4_SiO2_4_Escatllar-site16    1.764    4    2    3.278    -1.742    1.403    1.754    -0.605    1.0    0.676    0.506    0.751    0.821    0.65    0.606
H-MgO_4_SiO2_4_Escatllar-site18    1.577    4    2    3.278    -2.007    1.381    1.755    -0.6    1.0    0.659    0.513    0.772    0.81    0.622    0.63
H-MgO_4_SiO2_4_Escatllar-site19    0.759    4    2    3.278    -3.342    2.02    1.668    -0.309    1.0    0.496    0.666    0.847    0.591    0.681    0.812
H-MgO_4_SiO2_4_Escatllar-site8    1.878    4    2    3.278    -1.801    1.417    1.749    -0.584    1.0    0.646    0.52    0.786    0.799    0.604    0.653
H-MgO_4_SiO2_4_Escatllar-site9    1.619    4    2    3.278    -1.94    1.501    1.733    -0.594    1.0    0.469    0.697    0.837    0.561    0.726    0.792
H-MgO_5_SiO2_5_Andreas_0-site10    1.32    5    2    3.502    -1.179    1.399    1.777    -0.576    1.0    0.696    0.501    0.723    0.828    0.687    0.589
H-MgO_5_SiO2_5_Andreas_0-site13    0.553    5    2    3.502    -3.532    2.001    1.654    -0.406    1.0    0.502    0.659    0.848    0.599    0.671    0.814
H-MgO_5_SiO2_5_Andreas_0-site15    0.384    5    3    3.502    -3.516    2.101    1.85    -0.398    1.0    0.168    0.552    0.654    0.543    0.622    0.5
H-MgO_5_SiO2_5_Andreas_0-site24    1.01    5    2    3.502    -1.461    1.442    1.76    -0.604    1.0    0.579    0.576    0.838    0.713    0.577    0.771
H-MgO_5_SiO2_5_Andreas_0-site4    0.712    5    3    3.502    -2.449    1.526    1.858    -0.599    1.0    0.463    0.231    0.692    0.687    0.457    0.521
H-MgO_5_SiO2_5_Andreas_0-site6    0.825    5    2    3.502    -1.676    1.423    1.77    -0.598    1.0    0.598    0.557    0.827    0.742    0.572    0.74
H-MgO_5_SiO2_5_Andreas_1-site10    1.055    5    2    3.366    -1.439    1.442    1.761    -0.602    1.0    0.577    0.578    0.839    0.71    0.578    0.773
H-MgO_5_SiO2_5_Andreas_1-site13    0.1    5    3    3.366    -3.621    2.1    1.827    -0.32    1.0    0.199    0.511    0.704    0.501    0.608    0.555
H-MgO_5_SiO2_5_Andreas_1-site17    1.587    5    2    3.366    -1.121    1.402    1.78    -0.57    1.0    0.705    0.5    0.71    0.829    0.703    0.586
H-MgO_5_SiO2_5_Andreas_1-site20    1.829    5    2    3.366    -1.69    1.421    1.753    -0.608    1.0    0.67    0.508    0.758    0.818    0.64    0.613
H-MgO_5_SiO2_5_Andreas_1-site21    1.695    5    2    3.366    -1.413    1.512    1.757    -0.544    1.0    0.533    0.624    0.85    0.644    0.623    0.812
H-MgO_5_SiO2_5_Andreas_1-site24    1.474    5    2    3.366    -2.141    1.379    1.758    -0.624    1.0    0.655    0.515    0.777    0.806    0.615    0.638
H-MgO_5_SiO2_5_Andreas_1-site7    0.564    5    2    3.366    -3.232    2.008    1.657    -0.36    1.0    0.498    0.664    0.847    0.594    0.678    0.813
H-MgO_5_SiO2_5_Andreas_2-site1    1.792    5    2    2.915    -1.583    1.425    1.758    -0.553    1.0    0.602    0.554    0.825    0.747    0.572    0.734
H-MgO_5_SiO2_5_Andreas_2-site16    1.343    5    2    2.915    -1.834    1.392    1.776    -0.623    1.0    0.614    0.543    0.816    0.763    0.575    0.712
H-MgO_5_SiO2_5_Andreas_2-site17    1.572    5    2    2.915    -2.316    1.407    1.757    -0.632    1.0    0.663    0.511    0.767    0.813    0.628    0.624
H-MgO_5_SiO2_5_Andreas_2-site20    0.94    5    2    2.915    -3.471    2.068    1.65    -0.299    1.0    0.49    0.673    0.845    0.584    0.691    0.809
H-MgO_5_SiO2_5_Andreas_2-site22    1.347    5    2    2.915    -2.083    1.477    1.72    -0.582    1.0    0.537    0.62    0.85    0.649    0.618    0.811
H-MgO_5_SiO2_5_Andreas_2-site4    1.346    5    2    2.915    -2.123    1.476    1.721    -0.578    1.0    0.535    0.623    0.85    0.646    0.621    0.812
H-MgO_5_SiO2_5_Andreas_2-site7    0.941    5    2    2.915    -3.448    2.071    1.65    -0.299    1.0    0.481    0.683    0.842    0.574    0.706    0.803
H-MgO_5_SiO2_5_Andreas_2-site9    1.788    5    2    2.915    -1.644    1.423    1.756    -0.556    1.0    0.6    0.556    0.826    0.744    0.572    0.738
H-MgO_5_SiO2_5_Andreas_3-site11    1.651    5    2    2.822    -2.432    1.386    1.764    -0.539    1.0    0.569    0.586    0.843    0.698    0.583    0.784
