Samples    property    nMgO    metal_coord    HL_gap    pdos_c    pdos_w    av_d    O_Mc    ratio_Mg_Si_cluster    Q_1    Q_2    Q_3    Q_4    Q_5    Q_6
H-MgO_10_SiO2_5_Andreas_2-site30    0.991    10    3    3.311    -1.975    1.537    1.886    -0.694    2.0    0.371    0.348    0.736    0.587    0.466    0.637
H-MgO_10_SiO2_5_Andreas_2-site6    0.659    10    3    3.311    -2.604    1.435    1.909    -0.688    2.0    0.485    0.2    0.681    0.701    0.452    0.518
H-MgO_10_SiO2_5_Andreas_2-site7    0.816    10    3    3.311    -2.811    1.481    1.904    -0.671    2.0    0.361    0.485    0.573    0.661    0.619    0.383
H-MgO_10_SiO2_5_Andreas_3-site12    1.053    10    2    3.628    -1.535    1.38    1.772    -0.638    2.0    0.648    0.519    0.785    0.8    0.606    0.65
H-MgO_10_SiO2_5_Andreas_3-site13    0.616    10    3    3.628    -2.618    1.45    1.883    -0.68    2.0    0.351    0.474    0.591    0.667    0.605    0.354
H-MgO_10_SiO2_5_Andreas_3-site17    1.071    10    2    3.628    -1.383    1.361    1.771    -0.619    2.0    0.667    0.509    0.762    0.816    0.634    0.618
H-MgO_10_SiO2_5_Andreas_3-site3    0.983    10    2    3.628    -1.375    1.406    1.761    -0.659    2.0    0.568    0.587    0.843    0.698    0.583    0.784
H-MgO_10_SiO2_5_Andreas_3-site5    1.471    10    3    3.628    -1.09    0.766    1.931    -0.942    2.0    0.488    0.203    0.673    0.703    0.478    0.498
H-MgO_10_SiO2_5_Escatllar-site1    1.26    10    2    3.419    -1.667    1.34    1.765    -0.611    2.0    0.686    0.502    0.737    0.825    0.668    0.595
H-MgO_10_SiO2_5_Escatllar-site24    0.771    10    3    3.419    -2.6    1.467    1.869    -0.68    2.0    0.368    0.344    0.74    0.59    0.453    0.636
H-MgO_10_SiO2_5_Escatllar-site25    1.148    10    2    3.419    -1.57    1.346    1.764    -0.611    2.0    0.69    0.502    0.732    0.826    0.675    0.593
H-MgO_10_SiO2_5_Escatllar-site30    1.399    10    2    3.419    -1.683    1.374    1.759    -0.621    2.0    0.647    0.52    0.786    0.799    0.604    0.652
H-MgO_10_SiO2_5_Escatllar-site32    0.387    10    3    3.419    -2.52    1.501    1.86    -0.66    2.0    0.262    0.464    0.726    0.497    0.584    0.611
H-MgO_10_SiO2_5_Escatllar-site5    1.219    10    2    3.419    -1.534    1.357    1.771    -0.622    2.0    0.678    0.505    0.748    0.822    0.654    0.603
H-MgO_12_SiO2_6_Andreas_0-site11    0.727    12    2    3.063    -2.404    1.386    1.76    -0.626    2.0    0.633    0.529    0.8    0.785    0.589    0.678
H-MgO_12_SiO2_6_Andreas_0-site17    1.077    12    2    3.063    -2.18    1.402    1.757    -0.641    2.0    0.643    0.522    0.79    0.795    0.599    0.659
H-MgO_12_SiO2_6_Andreas_0-site18    1.406    12    2    3.063    -1.959    1.362    1.78    -0.598    2.0    0.703    0.5    0.713    0.829    0.7    0.587
H-MgO_12_SiO2_6_Andreas_0-site20    -0.155    12    3    3.063    -4.42    2.008    1.824    -0.378    2.0    0.285    0.463    0.712    0.503    0.601    0.604
H-MgO_12_SiO2_6_Andreas_0-site22    1.219    12    2    3.063    -2.402    1.423    1.744    -0.638    2.0    0.593    0.562    0.831    0.735    0.572    0.749
H-MgO_12_SiO2_6_Andreas_0-site24    0.474    12    3    3.063    -2.847    1.574    1.867    -0.65    2.0    0.327    0.422    0.714    0.547    0.558    0.601
H-MgO_12_SiO2_6_Andreas_0-site26    0.353    12    3    3.063    -2.942    1.727    1.935    -0.798    2.0    0.252    0.551    0.623    0.516    0.684    0.514
H-MgO_12_SiO2_6_Andreas_0-site30    1.489    12    2    3.063    -1.421    1.373    1.77    -0.581    2.0    0.682    0.503    0.742    0.824    0.661    0.599
H-MgO_12_SiO2_6_Andreas_0-site32    1.261    12    2    3.063    -1.693    1.359    1.761    -0.619    2.0    0.658    0.514    0.773    0.809    0.62    0.633
H-MgO_12_SiO2_6_Andreas_0-site34    1.37    12    2    3.063    -1.327    1.37    1.765    -0.584    2.0    0.686    0.502    0.737    0.825    0.669    0.595
H-MgO_12_SiO2_6_Andreas_0-site37    1.779    12    3    3.063    -0.979    0.786    1.927    -0.941    2.0    0.472    0.221    0.686    0.692    0.463    0.515
H-MgO_12_SiO2_6_Andreas_1-site0    1.216    12    2    3.382    -1.351    1.37    1.772    -0.589    2.0    0.668    0.508    0.761    0.816    0.637    0.616
H-MgO_12_SiO2_6_Andreas_1-site1    1.433    12    2    3.382    -1.171    1.357    1.797    -0.609    2.0    0.699    0.5    0.719    0.829    0.692    0.588
H-MgO_12_SiO2_6_Andreas_1-site10    0.673    12    3    3.382    -2.344    1.412    1.918    -0.645    2.0    0.562    0.044    0.6    0.761    0.548    0.365
H-MgO_12_SiO2_6_Andreas_1-site13    1.044    12    2    3.382    -2.045    1.396    1.747    -0.658    2.0    0.612    0.545    0.818    0.76    0.574    0.717
H-MgO_12_SiO2_6_Andreas_1-site16    0.577    12    3    3.382    -2.764    1.517    1.875    -0.721    2.0    0.279    0.391    0.781    0.53    0.401    0.699
H-MgO_12_SiO2_6_Andreas_1-site23    0.953    12    2    3.382    -1.981    1.424    1.754    -0.632    2.0    0.593    0.563    0.831    0.734    0.572    0.75
H-MgO_12_SiO2_6_Andreas_1-site27    1.164    12    2    3.382    -1.601    1.443    1.749    -0.646    2.0    0.572    0.583    0.841    0.703    0.581    0.78
H-MgO_12_SiO2_6_Andreas_1-site29    0.92    12    2    3.382    -1.673    1.513    1.745    -0.596    2.0    0.457    0.71    0.83    0.55    0.745    0.778
H-MgO_12_SiO2_6_Andreas_1-site34    1.405    12    2    3.382    -1.342    1.361    1.792    -0.628    2.0    0.68    0.504    0.745    0.823    0.658    0.601
H-MgO_12_SiO2_6_Andreas_1-site35    1.288    12    3    3.382    -1.481    0.766    1.915    -0.975    2.0    0.373    0.3    0.759    0.622    0.349    0.635
H-MgO_12_SiO2_6_Andreas_1-site37    1.101    12    2    3.382    -1.684    1.475    1.763    -0.613    2.0    0.531    0.627    0.851    0.64    0.626    0.813
H-MgO_12_SiO2_6_Andreas_1-site7    0.331    12    3    3.382    -2.648    1.516    1.899    -0.717    2.0    0.262    0.489    0.7    0.491    0.632    0.58
H-MgO_12_SiO2_6_Andreas_2-site10    1.044    12    2    3.451    -1.888    1.39    1.764    -0.63    2.0    0.63    0.531    0.802    0.782    0.586    0.683
H-MgO_12_SiO2_6_Andreas_2-site16    0.102    12    2    3.451    -3.468    1.837    1.683    -0.37    2.0    0.696    0.501    0.723    0.828    0.687    0.589
H-MgO_12_SiO2_6_Andreas_2-site31    0.743    12    3    3.451    -2.073    1.459    1.915    -0.65    2.0    0.544    0.213    0.608    0.695    0.569    0.519
H-MgO_12_SiO2_6_Andreas_2-site34    0.615    12    2    3.451    -2.266    1.363    1.761    -0.591    2.0    0.622    0.537    0.809    0.773    0.58    0.697
H-MgO_12_SiO2_6_Andreas_2-site35    1.241    12    3    3.451    -0.928    0.752    1.913    -0.982    2.0    0.423    0.313    0.705    0.626    0.49    0.593
H-MgO_12_SiO2_6_Andreas_2-site38    1.4    12    2    3.451    -1.196    1.383    1.79    -0.567    2.0    0.678    0.505    0.749    0.822    0.652    0.604
H-MgO_12_SiO2_6_Andreas_2-site39    1.261    12    2    3.451    -1.268    1.342    1.795    -0.634    2.0    0.679    0.505    0.747    0.822    0.654    0.603
H-MgO_12_SiO2_6_Andreas_2-site41    1.31    12    3    3.451    -0.988    0.754    1.936    -0.998    2.0    0.388    0.303    0.744    0.624    0.398    0.619
H-MgO_12_SiO2_6_Andreas_2-site7    1.04    12    2    3.451    -1.977    1.362    1.758    -0.618    2.0    0.657    0.514    0.775    0.808    0.618    0.634
H-MgO_12_SiO2_6_Andreas_3-site0    1.535    12    3    3.342    -1.097    0.805    1.94    -0.934    2.0    0.471    0.209    0.692    0.697    0.441    0.515
H-MgO_12_SiO2_6_Andreas_3-site12    1.29    12    2    3.342    -1.723    1.435    1.741    -0.595    2.0    0.587    0.568    0.834    0.725    0.573    0.759
H-MgO_12_SiO2_6_Andreas_3-site14    0.497    12    3    3.342    -3.082    1.474    1.858    -0.728    2.0    0.3    0.371    0.78    0.549    0.38    0.694
H-MgO_12_SiO2_6_Andreas_3-site15    1.532    12    3    3.342    -1.099    0.805    1.941    -0.934    2.0    0.472    0.209    0.691    0.698    0.441    0.515
