Samples    property    nMgO    O_coord    HL_gap    av_d    av_O_Mc    ratio_Mg_Si_cluster    Q_1    Q_2    Q_3    Q_4    Q_5    Q_6
CO-MgO_10_SiO2_5_Andreas_3-site27    0.376    10    4    3.628    2.038    -0.682    2.0    0.257    0.276    0.532    0.642    0.375    0.446
CO-MgO_10_SiO2_5_Andreas_3-site30    0.474    10    4    3.628    2.018    -0.849    2.0    0.381    0.257    0.332    0.754    0.425    0.425
CO-MgO_10_SiO2_5_Andreas_3-site34    0.606    10    3    3.628    1.967    -0.639    2.0    0.389    0.455    0.633    0.56    0.636    0.555
CO-MgO_10_SiO2_5_Andreas_3-site8    0.515    10    4    3.628    2.054    -0.709    2.0    0.332    0.344    0.426    0.579    0.586    0.447
CO-MgO_10_SiO2_5_Escatllar-site0    0.594    10    4    3.419    2.066    -0.649    2.0    0.353    0.34    0.434    0.525    0.654    0.394
CO-MgO_10_SiO2_5_Escatllar-site11    0.435    10    4    3.419    2.042    -0.683    2.0    0.227    0.401    0.448    0.575    0.541    0.513
CO-MgO_10_SiO2_5_Escatllar-site13    0.299    10    4    3.419    1.992    -0.785    2.0    0.066    0.414    0.457    0.636    0.524    0.24
CO-MgO_10_SiO2_5_Escatllar-site15    0.604    10    4    3.419    2.054    -0.695    2.0    0.398    0.267    0.439    0.538    0.669    0.4
CO-MgO_10_SiO2_5_Escatllar-site2    0.554    10    4    3.419    2.062    -0.658    2.0    0.354    0.326    0.421    0.601    0.531    0.517
CO-MgO_10_SiO2_5_Escatllar-site21    0.527    10    4    3.419    2.014    -0.713    2.0    0.381    0.262    0.358    0.721    0.463    0.419
CO-MgO_10_SiO2_5_Escatllar-site26    0.368    10    4    3.419    2.053    -0.718    2.0    0.328    0.332    0.386    0.688    0.4    0.569
CO-MgO_10_SiO2_5_Escatllar-site31    0.405    10    4    3.419    2.0    -0.723    2.0    0.237    0.272    0.569    0.581    0.443    0.456
CO-MgO_10_SiO2_5_Escatllar-site34    0.535    10    3    3.419    1.994    -0.713    2.0    0.367    0.503    0.597    0.564    0.65    0.536
CO-MgO_10_SiO2_5_Escatllar-site9    0.452    10    4    3.419    2.036    -0.707    2.0    0.21    0.351    0.502    0.626    0.382    0.548
CO-MgO_12_SiO2_6_Andreas_0-site10    0.421    12    4    3.063    2.037    -0.759    2.0    0.304    0.382    0.439    0.507    0.656    0.41
CO-MgO_12_SiO2_6_Andreas_0-site13    0.458    12    4    3.063    2.034    -0.759    2.0    0.325    0.325    0.456    0.562    0.614    0.383
CO-MgO_12_SiO2_6_Andreas_0-site15    0.384    12    4    3.063    2.005    -0.772    2.0    0.254    0.252    0.496    0.728    0.281    0.397
CO-MgO_12_SiO2_6_Andreas_0-site16    0.5    12    4    3.063    2.017    -0.655    2.0    0.302    0.322    0.414    0.715    0.285    0.578
CO-MgO_12_SiO2_6_Andreas_0-site2    0.419    12    4    3.063    2.027    -0.871    2.0    0.31    0.237    0.484    0.683    0.436    0.354
CO-MgO_12_SiO2_6_Andreas_0-site23    0.433    12    4    3.063    2.019    -0.713    2.0    0.325    0.307    0.391    0.726    0.334    0.539
CO-MgO_12_SiO2_6_Andreas_0-site25    0.57    12    3    3.063    1.96    -0.681    2.0    0.358    0.471    0.653    0.521    0.643    0.593
CO-MgO_12_SiO2_6_Andreas_0-site27    0.583    12    3    3.063    1.951    -0.676    2.0    0.359    0.454    0.68    0.494    0.631    0.646
CO-MgO_12_SiO2_6_Andreas_0-site35    0.531    12    3    3.063    1.945    -0.764    2.0    0.336    0.399    0.723    0.57    0.521    0.591
CO-MgO_12_SiO2_6_Andreas_0-site36    0.494    12    4    3.063    2.017    -0.758    2.0    0.277    0.282    0.53    0.592    0.482    0.451
CO-MgO_12_SiO2_6_Andreas_1-site15    0.507    12    3    3.382    1.936    -0.77    2.0    0.258    0.406    0.785    0.51    0.412    0.711
CO-MgO_12_SiO2_6_Andreas_1-site2    0.566    12    3    3.382    1.945    -0.683    2.0    0.348    0.473    0.663    0.504    0.646    0.608
CO-MgO_12_SiO2_6_Andreas_1-site26    0.533    12    3    3.382    1.959    -0.843    2.0    0.266    0.482    0.705    0.494    0.622    0.587
