Samples    property    nMgO    O_coord    HL_gap    av_d    av_O_Mc    ratio_Mg_Si_cluster    Q_1    Q_2    Q_3    Q_4    Q_5    Q_6
CO-MgO_16_SiO2_8_Andreas_0-site15    0.405    16    3    3.688    1.966    -0.696    2.0    0.128    0.566    0.664    0.479    0.687    0.472
CO-MgO_16_SiO2_8_Andreas_0-site16    0.508    16    4    3.688    2.033    -0.742    2.0    0.334    0.273    0.429    0.696    0.431    0.428
CO-MgO_16_SiO2_8_Andreas_0-site21    0.497    16    4    3.688    2.056    -0.74    2.0    0.263    0.288    0.58    0.495    0.521    0.516
CO-MgO_16_SiO2_8_Andreas_0-site24    0.34    16    4    3.688    1.988    -0.826    2.0    0.28    0.266    0.472    0.714    0.351    0.42
CO-MgO_16_SiO2_8_Andreas_0-site3    0.553    16    4    3.688    2.048    -0.664    2.0    0.345    0.309    0.396    0.677    0.461    0.487
CO-MgO_16_SiO2_8_Andreas_0-site30    0.363    16    4    3.688    2.084    -0.721    2.0    0.172    0.388    0.525    0.523    0.533    0.492
CO-MgO_16_SiO2_8_Andreas_0-site36    0.537    16    4    3.688    2.041    -0.696    2.0    0.392    0.287    0.361    0.662    0.543    0.442
CO-MgO_16_SiO2_8_Andreas_0-site45    0.458    16    3    3.688    1.993    -0.822    2.0    0.35    0.407    0.712    0.551    0.555    0.617
CO-MgO_16_SiO2_8_Andreas_0-site47    0.467    16    3    3.688    1.953    -0.768    2.0    0.192    0.449    0.789    0.454    0.459    0.729
CO-MgO_16_SiO2_8_Andreas_0-site50    0.405    16    4    3.688    2.061    -0.741    2.0    0.256    0.452    0.408    0.453    0.698    0.427
CO-MgO_16_SiO2_8_Andreas_0-site51    0.526    16    3    3.688    1.979    -0.734    2.0    0.136    0.503    0.747    0.468    0.544    0.633
CO-MgO_16_SiO2_8_Andreas_0-site54    0.559    16    3    3.688    1.94    -0.694    2.0    0.274    0.465    0.708    0.533    0.578    0.569
CO-MgO_16_SiO2_8_Andreas_0-site55    0.434    16    4    3.688    2.041    -0.723    2.0    0.296    0.258    0.532    0.6    0.468    0.442
CO-MgO_16_SiO2_8_Andreas_1-site10    0.366    16    3    3.074    2.089    -0.636    2.0    0.266    0.631    0.458    0.635    0.579    0.65
CO-MgO_16_SiO2_8_Andreas_1-site11    0.594    16    4    3.074    2.085    -0.662    2.0    0.283    0.414    0.417    0.538    0.602    0.425
CO-MgO_16_SiO2_8_Andreas_1-site21    0.586    16    3    3.074    1.947    -0.678    2.0    0.373    0.426    0.691    0.512    0.6    0.659
CO-MgO_16_SiO2_8_Andreas_1-site24    0.387    16    3    3.074    1.989    -0.797    2.0    0.151    0.561    0.646    0.548    0.622    0.494
CO-MgO_16_SiO2_8_Andreas_1-site28    0.498    16    4    3.074    2.091    -0.788    2.0    0.366    0.242    0.419    0.69    0.481    0.366
CO-MgO_16_SiO2_8_Andreas_1-site34    0.399    16    5    3.074    2.098    -0.748    2.0    0.24    0.241    0.306    0.607    0.476    0.399
CO-MgO_16_SiO2_8_Andreas_1-site43    0.464    16    3    3.074    1.994    -0.674    2.0    0.205    0.631    0.536    0.491    0.762    0.435
CO-MgO_16_SiO2_8_Andreas_1-site48    0.199    16    5    3.074    2.089    -0.847    2.0    0.188    0.143    0.463    0.518    0.524    0.305
CO-MgO_16_SiO2_8_Andreas_1-site52    0.479    16    4    3.074    2.024    -0.836    2.0    0.321    0.305    0.398    0.714    0.396    0.494
CO-MgO_16_SiO2_8_Andreas_1-site53    0.465    16    3    3.074    1.956    -0.802    2.0    0.196    0.459    0.772    0.476    0.484    0.683
CO-MgO_16_SiO2_8_Andreas_1-site54    0.472    16    4    3.074    2.051    -0.716    2.0    0.299    0.251    0.516    0.636    0.448    0.402
CO-MgO_16_SiO2_8_Andreas_1-site55    0.538    16    3    3.074    2.01    -0.777    2.0    0.402    0.382    0.684    0.58    0.568    0.596
CO-MgO_16_SiO2_8_Andreas_1-site6    0.419    16    3    3.074    1.979    -0.791    2.0    0.228    0.551    0.572    0.699    0.475    0.5
CO-MgO_16_SiO2_8_Andreas_2-site15    0.619    16    4    2.831    2.032    -0.7    2.0    0.407    0.247    0.397    0.632    0.588    0.388
CO-MgO_16_SiO2_8_Andreas_2-site16    0.372    16    3    2.831    2.022    -0.735    2.0    0.505    0.317    0.62    0.629    0.6    0.573
CO-MgO_16_SiO2_8_Andreas_2-site20    0.495    16    4    2.831    2.063    -0.698    2.0    0.215    0.453    0.372    0.59    0.575    0.433
CO-MgO_16_SiO2_8_Andreas_2-site21    0.423    16    3    2.831    2.084    -0.768    2.0    0.432    0.494    0.535    0.604    0.667    0.48
CO-MgO_16_SiO2_8_Andreas_2-site34    0.514    16    4    2.831    2.016    -0.772    2.0    0.335    0.294    0.392    0.719    0.394    0.488
CO-MgO_16_SiO2_8_Andreas_2-site35    0.296    16    4    2.831    2.01    -0.824    2.0    0.161    0.27    0.599    0.595    0.387    0.444
CO-MgO_16_SiO2_8_Andreas_2-site36    0.468    16    4    2.831    2.044    -0.77    2.0    0.365    0.268    0.444    0.609    0.584    0.373
CO-MgO_16_SiO2_8_Andreas_2-site37    0.539    16    4    2.831    2.069    -0.663    2.0    0.262    0.413    0.393    0.588    0.603    0.343
CO-MgO_16_SiO2_8_Andreas_2-site40    0.471    16    3    2.831    1.994    -0.782    2.0    0.17    0.587    0.615    0.493    0.725    0.438
CO-MgO_16_SiO2_8_Andreas_2-site41    0.464    16    4    2.831    2.059    -0.749    2.0    0.231    0.432    0.415    0.559    0.581    0.477
CO-MgO_16_SiO2_8_Andreas_2-site43    0.253    16    4    2.831    2.009    -0.802    2.0    0.197    0.229    0.594    0.621    0.405    0.356
CO-MgO_16_SiO2_8_Andreas_2-site44    0.456    16    4    2.831    2.042    -0.664    2.0    0.15    0.466    0.334    0.667    0.472    0.503
CO-MgO_16_SiO2_8_Andreas_2-site48    0.457    16    4    2.831    2.065    -0.767    2.0    0.352    0.284    0.473    0.553    0.624    0.376
CO-MgO_16_SiO2_8_Andreas_2-site5    0.454    16    3    2.831    2.042    -0.634    2.0    0.319    0.591    0.355    0.823    0.322    0.692
CO-MgO_16_SiO2_8_Andreas_2-site50    0.489    16    4    2.831    2.042    -0.676    2.0    0.231    0.417    0.416    0.584    0.567    0.453
CO-MgO_16_SiO2_8_Andreas_3-site1    0.426    16    4    3.341    2.102    -0.72    2.0    0.257    0.451    0.405    0.471    0.675    0.462
CO-MgO_16_SiO2_8_Andreas_3-site15    0.404    16    4    3.341    2.035    -0.743    2.0    0.212    0.347    0.538    0.497    0.623    0.389
CO-MgO_16_SiO2_8_Andreas_3-site16    0.516    16    4    3.341    2.042    -0.748    2.0    0.366    0.151    0.554    0.542    0.546    0.489
CO-MgO_16_SiO2_8_Andreas_3-site21    0.545    16    4    3.341    2.036    -0.808    2.0    0.231    0.343    0.536    0.493    0.618    0.414
CO-MgO_16_SiO2_8_Andreas_3-site3    0.532    16    3    3.341    1.952    -0.659    2.0    0.29    0.559    0.586    0.541    0.673    0.538
CO-MgO_16_SiO2_8_Andreas_3-site30    0.533    16    3    3.341    1.97    -0.703    2.0    0.206    0.54    0.659    0.517    0.653    0.506
CO-MgO_16_SiO2_8_Andreas_3-site36    0.471    16    3    3.341    2.015    -0.664    2.0    0.266    0.579    0.478    0.749    0.437    0.596
CO-MgO_16_SiO2_8_Andreas_3-site45    0.483    16    3    3.341    1.986    -0.818    2.0    0.411    0.322    0.715    0.611    0.48    0.62
CO-MgO_16_SiO2_8_Andreas_3-site47    0.491    16    3    3.341    1.92    -0.779    2.0    0.28    0.446    0.729    0.515    0.56    0.616
CO-MgO_16_SiO2_8_Andreas_3-site50    0.508    16    4    3.341    2.057    -0.74    2.0    0.244    0.413    0.392    0.622    0.512    0.534
CO-MgO_16_SiO2_8_Andreas_3-site51    0.475    16    4    3.341    2.041    -0.74    2.0    0.329    0.292    0.434    0.671    0.453    0.447
CO-MgO_16_SiO2_8_Andreas_3-site54    0.53    16    3    3.341    1.973    -0.659    2.0    0.224    0.53    0.668    0.499    0.663    0.522
CO-MgO_16_SiO2_8_Andreas_3-site55    0.42    16    4    3.341    2.006    -0.735    2.0    0.285    0.189    0.608    0.517    0.509    0.501
CO-MgO_16_SiO2_8_Escatllar-site1    0.575    16    4    3.389    2.038    -0.645    2.0    0.398    0.26    0.408    0.616    0.596    0.397
CO-MgO_16_SiO2_8_Escatllar-site12    0.392    16    3    3.389    1.959    -0.82    2.0    0.063    0.5    0.782    0.397    0.529    0.716
CO-MgO_16_SiO2_8_Escatllar-site18    0.555    16    4    3.389    2.04    -0.785    2.0    0.257    0.331    0.473    0.66    0.368    0.54
CO-MgO_16_SiO2_8_Escatllar-site19    0.519    16    3    3.389    1.942    -0.764    2.0    0.2    0.495    0.717    0.528    0.549    0.568
CO-MgO_16_SiO2_8_Escatllar-site2    0.418    16    5    3.389    2.103    -0.73    2.0    0.257    0.243    0.316    0.553    0.569    0.332
CO-MgO_16_SiO2_8_Escatllar-site29    0.434    16    4    3.389    2.012    -0.876    2.0    0.254    0.163    0.614    0.567    0.474    0.419
CO-MgO_16_SiO2_8_Escatllar-site30    0.509    16    3    3.389    1.948    -0.839    2.0    0.258    0.416    0.776    0.51    0.446    0.69
CO-MgO_16_SiO2_8_Escatllar-site36    0.444    16    4    3.389    2.021    -0.802    2.0    0.322    0.288    0.418    0.719    0.348    0.486
CO-MgO_16_SiO2_8_Escatllar-site41    0.423    16    4    3.389    2.019    -0.79    2.0    0.321    0.276    0.448    0.684    0.428    0.426
CO-MgO_16_SiO2_8_Escatllar-site46    0.491    16    4    3.389    2.065    -0.695    2.0    0.242    0.363    0.455    0.656    0.373    0.545
CO-MgO_16_SiO2_8_Escatllar-site47    0.478    16    3    3.389    1.929    -0.802    2.0    0.263    0.432    0.752    0.531    0.487    0.63
CO-MgO_16_SiO2_8_Escatllar-site5    0.519    16    3    3.389    1.944    -0.724    2.0    0.291    0.542    0.608    0.534    0.671    0.533
CO-MgO_16_SiO2_8_Escatllar-site6    0.43    16    4    3.389    2.011    -0.746    2.0    0.306    0.28    0.486    0.625    0.504    0.407
CO-MgO_16_SiO2_8_Escatllar-site7    0.458    16    4    3.389    2.017    -0.779    2.0    0.305    0.306    0.414    0.724    0.319    0.527
CO-MgO_18_SiO2_9_Escatllar-site10    0.466    18    3    3.534    1.957    -0.71    2.0    0.215    0.623    0.535    0.523    0.726    0.483
CO-MgO_18_SiO2_9_Escatllar-site11    0.36    18    4    3.534    1.994    -0.757    2.0    0.262    0.281    0.551    0.542    0.576    0.355
CO-MgO_18_SiO2_9_Escatllar-site17    0.438    18    4    3.534    2.032    -0.752    2.0    0.235    0.345    0.455    0.683    0.338    0.561
CO-MgO_18_SiO2_9_Escatllar-site18    0.45    18    4    3.534    2.025    -0.738    2.0    0.337    0.306    0.377    0.727    0.345    0.54
CO-MgO_18_SiO2_9_Escatllar-site2    0.557    18    4    3.534    2.034    -0.648    2.0    0.389    0.269    0.404    0.628    0.579    0.401
CO-MgO_18_SiO2_9_Escatllar-site23    0.301    18    4    3.534    2.007    -0.762    2.0    0.206    0.314    0.551    0.59    0.43    0.488
CO-MgO_18_SiO2_9_Escatllar-site28    0.478    18    3    3.534    1.935    -0.827    2.0    0.239    0.428    0.778    0.497    0.452    0.695
CO-MgO_18_SiO2_9_Escatllar-site29    0.429    18    4    3.534    2.017    -0.985    2.0    0.313    0.134    0.6    0.533    0.52    0.502
CO-MgO_18_SiO2_9_Escatllar-site35    0.592    18    4    3.534    2.044    -0.65    2.0    0.396    0.263    0.41    0.612    0.598    0.399
CO-MgO_18_SiO2_9_Escatllar-site36    0.405    18    4    3.534    2.038    -0.782    2.0    0.176    0.315    0.562    0.578    0.474    0.43
CO-MgO_18_SiO2_9_Escatllar-site43    0.502    18    4    3.534    2.043    -0.762    2.0    0.304    0.274    0.465    0.7    0.346    0.443
CO-MgO_18_SiO2_9_Escatllar-site49    0.39    18    4    3.534    1.994    -0.742    2.0    0.259    0.29    0.526    0.602    0.491    0.407
CO-MgO_18_SiO2_9_Escatllar-site5    0.388    18    4    3.534    2.071    -0.696    2.0    0.116    0.475    0.363    0.625    0.541    0.404
CO-MgO_18_SiO2_9_Escatllar-site50    0.492    18    3    3.534    2.035    -0.848    2.0    0.28    0.434    0.736    0.542    0.517    0.601
CO-MgO_18_SiO2_9_Escatllar-site54    0.54    18    3    3.534    1.919    -0.689    2.0    0.296    0.453    0.714    0.511    0.59    0.609
CO-MgO_18_SiO2_9_Escatllar-site62    0.498    18    3    3.534    1.939    -0.673    2.0    0.219    0.472    0.741    0.501    0.542    0.616
CO-MgO_20_SiO2_10_Escatllar-site12    0.308    20    4    3.292    2.025    -0.85    2.0    0.265    0.272    0.492    0.689    0.38    0.416
CO-MgO_20_SiO2_10_Escatllar-site13    0.414    20    4    3.292    2.034    -0.766    2.0    0.234    0.304    0.553    0.536    0.573    0.36
CO-MgO_20_SiO2_10_Escatllar-site19    0.407    20    4    3.292    2.008    -0.751    2.0    0.217    0.314    0.55    0.552    0.532    0.433
CO-MgO_20_SiO2_10_Escatllar-site3    0.589    20    3    3.292    1.949    -0.684    2.0    0.376    0.43    0.685    0.514    0.606    0.652
CO-MgO_20_SiO2_10_Escatllar-site31    0.402    20    4    3.292    2.041    -0.891    2.0    0.284    0.272    0.465    0.71    0.363    0.433
CO-MgO_20_SiO2_10_Escatllar-site32    0.39    20    4    3.292    2.048    -0.76    2.0    0.213    0.357    0.516    0.58    0.433    0.562
CO-MgO_20_SiO2_10_Escatllar-site38    0.459    20    3    3.292    1.947    -0.827    2.0    0.18    0.57    0.606    0.6    0.594    0.502
CO-MgO_20_SiO2_10_Escatllar-site44    0.431    20    4    3.292    2.044    -0.818    2.0    0.206    0.401    0.458    0.588    0.524    0.467
CO-MgO_20_SiO2_10_Escatllar-site49    0.477    20    4    3.292    2.031    -0.787    2.0    0.293    0.325    0.476    0.603    0.494    0.488
CO-MgO_20_SiO2_10_Escatllar-site5    0.471    20    4    3.292    1.994    -0.758    2.0    0.281    0.282    0.479    0.684    0.38    0.449
CO-MgO_20_SiO2_10_Escatllar-site50    0.626    20    4    3.292    2.051    -0.669    2.0    0.407    0.253    0.403    0.62    0.591    0.398
CO-MgO_20_SiO2_10_Escatllar-site55    0.45    20    4    3.292    2.026    -0.759    2.0    0.264    0.266    0.56    0.547    0.562    0.359
CO-MgO_20_SiO2_10_Escatllar-site59    0.504    20    3    3.292    2.016    -0.67    2.0    0.253    0.605    0.465    0.715    0.476    0.648
CO-MgO_20_SiO2_10_Escatllar-site66    0.387    20    4    3.292    2.027    -0.705    2.0    0.264    0.318    0.47    0.679    0.338    0.526
CO-MgO_20_SiO2_10_Escatllar-site7    0.567    20    3    3.292    1.948    -0.684    2.0    0.317    0.509    0.657    0.457    0.69    0.606
CO-MgO_3_SiO2_3_Andreas_0-site11    0.677    3    2    2.923    1.856    -0.608    1.0    0.297    0.871    0.647    0.65    0.824    0.541
CO-MgO_3_SiO2_3_Andreas_0-site13    0.524    3    3    2.923    1.941    -0.548    1.0    0.304    0.37    0.778    0.551    0.386    0.69
CO-MgO_3_SiO2_3_Andreas_0-site2    0.674    3    2    2.923    1.856    -0.608    1.0    0.299    0.869    0.651    0.647    0.826    0.542
CO-MgO_3_SiO2_3_Escatllar-site12    0.629    3    3    3.164    1.995    -0.583    1.0    0.454    0.35    0.673    0.58    0.543    0.656
CO-MgO_3_SiO2_3_Escatllar-site7    0.597    3    3    3.164    1.966    -0.555    1.0    0.451    0.523    0.39    0.698    0.691    0.426
CO-MgO_3_SiO2_3_Escatllar-site9    0.541    3    3    3.164    1.948    -0.565    1.0    0.306    0.369    0.776    0.556    0.385    0.683
CO-MgO_4_SiO2_2_Andreas_0-site11    0.545    4    3    2.628    1.969    -0.626    2.0    0.448    0.534    0.366    0.711    0.675    0.45
CO-MgO_4_SiO2_2_Andreas_0-site12    0.559    4    3    2.628    1.97    -0.698    2.0    0.446    0.406    0.601    0.617    0.658    0.473
CO-MgO_4_SiO2_2_Andreas_0-site5    0.516    4    3    2.628    1.959    -0.699    2.0    0.293    0.449    0.721    0.508    0.582    0.618
CO-MgO_4_SiO2_2_Andreas_0-site6    0.577    4    3    2.628    1.964    -0.705    2.0    0.51    0.288    0.623    0.651    0.591    0.552
CO-MgO_4_SiO2_2_Andreas_1-site11    0.604    4    3    2.202    1.954    -0.698    2.0    0.552    0.135    0.613    0.734    0.533    0.447
CO-MgO_4_SiO2_2_Andreas_1-site6    0.955    4    3    2.202    2.014    -0.695    2.0    0.516    0.322    0.605    0.627    0.622    0.571
CO-MgO_4_SiO2_2_Andreas_1-site8    0.897    4    3    2.202    2.017    -0.695    2.0    0.518    0.318    0.604    0.629    0.62    0.571
CO-MgO_4_SiO2_2_Andreas_1-site9    0.569    4    3    2.202    1.965    -0.642    2.0    0.455    0.559    0.28    0.736    0.643    0.534
CO-MgO_4_SiO2_2_Andreas_2-site12    0.576    4    3    2.784    1.954    -0.648    2.0    0.475    0.347    0.626    0.623    0.618    0.539
CO-MgO_4_SiO2_2_Andreas_2-site2    0.565    4    3    2.784    1.969    -0.702    2.0    0.493    0.338    0.612    0.628    0.632    0.538
CO-MgO_4_SiO2_2_Andreas_2-site5    0.583    4    3    2.784    2.013    -0.615    2.0    0.43    0.398    0.67    0.54    0.582    0.665
CO-MgO_4_SiO2_2_Andreas_2-site6    0.527    4    3    2.784    1.967    -0.709    2.0    0.347    0.424    0.68    0.597    0.573    0.502
CO-MgO_4_SiO2_2_Escatllar-site12    0.548    4    3    2.937    1.964    -0.573    2.0    0.462    0.537    0.348    0.699    0.69    0.468
CO-MgO_4_SiO2_2_Escatllar-site13    0.536    4    3    2.937    1.995    -0.716    2.0    0.456    0.448    0.544    0.62    0.695    0.439
CO-MgO_4_SiO2_2_Escatllar-site5    0.536    4    3    2.937    1.942    -0.733    2.0    0.359    0.416    0.667    0.624    0.575    0.443
CO-MgO_4_SiO2_2_Escatllar-site9    0.535    4    3    2.937    1.996    -0.716    2.0    0.456    0.448    0.544    0.62    0.696    0.438
CO-MgO_4_SiO2_4_Andreas_0-site0    0.672    4    2    3.011    1.883    -0.586    1.0    0.508    0.653    0.849    0.606    0.662    0.815
CO-MgO_4_SiO2_4_Andreas_0-site17    0.597    4    3    3.011    1.978    -0.602    1.0    0.476    0.513    0.402    0.657    0.726    0.441
CO-MgO_4_SiO2_4_Andreas_0-site4    0.535    4    3    3.011    1.952    -0.533    1.0    0.343    0.535    0.551    0.619    0.624    0.509
CO-MgO_4_SiO2_4_Andreas_0-site5    0.475    4    3    3.011    1.966    -0.588    1.0    0.35    0.564    0.421    0.758    0.505    0.552
CO-MgO_4_SiO2_4_Andreas_1-site0    0.585    4    3    3.039    1.984    -0.551    1.0    0.49    0.5    0.421    0.631    0.743    0.454
CO-MgO_4_SiO2_4_Andreas_1-site10    0.671    4    2    3.039    1.838    -0.622    1.0    0.347    0.826    0.723    0.578    0.842    0.589
CO-MgO_4_SiO2_4_Andreas_1-site17    0.395    4    3    3.039    1.98    -0.618    1.0    0.274    0.614    0.415    0.748    0.409    0.711
CO-MgO_4_SiO2_4_Andreas_1-site4    0.396    4    3    3.039    1.983    -0.618    1.0    0.273    0.615    0.418    0.744    0.416    0.71
CO-MgO_4_SiO2_4_Andreas_2-site15    0.587    4    3    3.333    1.937    -0.53    1.0    0.359    0.463    0.66    0.522    0.636    0.598
CO-MgO_4_SiO2_4_Andreas_2-site4    0.589    4    3    3.333    1.938    -0.53    1.0    0.359    0.463    0.66    0.523    0.636    0.598
CO-MgO_4_SiO2_4_Andreas_2-site6    0.588    4    3    3.333    1.936    -0.529    1.0    0.359    0.463    0.661    0.522    0.636    0.599
CO-MgO_4_SiO2_4_Andreas_2-site7    0.544    4    3    3.333    1.925    -0.572    1.0    0.359    0.307    0.77    0.611    0.323    0.655
CO-MgO_4_SiO2_4_Andreas_3-site0    0.609    4    2    3.515    1.873    -0.607    1.0    0.313    0.857    0.673    0.624    0.835    0.549
CO-MgO_4_SiO2_4_Andreas_3-site10    0.612    4    3    3.515    1.986    -0.6    1.0    0.489    0.524    0.372    0.649    0.731    0.473
CO-MgO_4_SiO2_4_Andreas_3-site17    0.42    4    4    3.515    2.03    -0.574    1.0    0.332    0.338    0.392    0.662    0.454    0.54
CO-MgO_4_SiO2_4_Andreas_3-site4    0.565    4    3    3.515    1.973    -0.607    1.0    0.37    0.458    0.671    0.489    0.637    0.651
CO-MgO_4_SiO2_4_Escatllar-site4    0.608    4    2    3.278    1.89    -0.603    1.0    0.319    0.852    0.682    0.615    0.838    0.554
CO-MgO_4_SiO2_4_Escatllar-site5    0.503    4    3    3.278    1.966    -0.534    1.0    0.31    0.574    0.529    0.61    0.618    0.562
CO-MgO_4_SiO2_4_Escatllar-site6    0.438    4    3    3.278    1.946    -0.599    1.0    0.313    0.598    0.374    0.797    0.354    0.7
CO-MgO_4_SiO2_4_Escatllar-site7    0.604    4    2    3.278    1.883    -0.6    1.0    0.271    0.892    0.604    0.693    0.799    0.548
CO-MgO_5_SiO2_5_Andreas_0-site11    0.629    5    3    3.502    2.014    -0.614    1.0    0.461    0.362    0.658    0.58    0.569    0.636
CO-MgO_5_SiO2_5_Andreas_0-site16    0.64    5    4    3.502    2.074    -0.577    1.0    0.344    0.352    0.429    0.537    0.624    0.441
CO-MgO_5_SiO2_5_Andreas_0-site17    0.569    5    3    3.502    1.945    -0.601    1.0    0.353    0.316    0.77    0.604    0.333    0.659
CO-MgO_5_SiO2_5_Andreas_0-site23    0.529    5    4    3.502    2.023    -0.555    1.0    0.31    0.341    0.407    0.67    0.433    0.52
CO-MgO_5_SiO2_5_Andreas_0-site8    0.568    5    4    3.502    2.038    -0.488    1.0    0.304    0.393    0.409    0.554    0.602    0.472
CO-MgO_5_SiO2_5_Andreas_1-site0    0.631    5    4    3.366    2.064    -0.576    1.0    0.337    0.352    0.422    0.557    0.623    0.405
CO-MgO_5_SiO2_5_Andreas_1-site14    0.528    5    4    3.366    2.022    -0.533    1.0    0.309    0.336    0.422    0.66    0.437    0.514
CO-MgO_5_SiO2_5_Andreas_1-site18    0.566    5    4    3.366    2.044    -0.529    1.0    0.287    0.396    0.397    0.598    0.554    0.487
CO-MgO_5_SiO2_5_Andreas_1-site5    0.616    5    2    3.366    1.893    -0.616    1.0    0.283    0.883    0.624    0.673    0.812    0.542
CO-MgO_5_SiO2_5_Andreas_1-site8    0.568    5    3    3.366    1.947    -0.595    1.0    0.351    0.318    0.771    0.602    0.335    0.661
CO-MgO_5_SiO2_5_Andreas_2-site12    0.618    5    4    2.915    2.038    -0.665    1.0    0.379    0.296    0.438    0.535    0.672    0.366
CO-MgO_5_SiO2_5_Andreas_2-site14    0.507    5    3    2.915    1.942    -0.577    1.0    0.265    0.399    0.787    0.515    0.401    0.715
CO-MgO_5_SiO2_5_Andreas_2-site18    0.527    5    3    2.915    1.915    -0.636    1.0    0.279    0.495    0.647    0.61    0.576    0.464
CO-MgO_5_SiO2_5_Andreas_2-site3    0.54    5    3    2.915    1.911    -0.638    1.0    0.294    0.474    0.668    0.591    0.579    0.486
CO-MgO_5_SiO2_5_Andreas_2-site5    0.587    5    3    2.915    1.974    -0.548    1.0    0.473    0.553    0.297    0.702    0.683    0.516
CO-MgO_5_SiO2_5_Andreas_3-site1    0.616    5    4    2.822    2.045    -0.645    1.0    0.389    0.28    0.433    0.555    0.648    0.394
CO-MgO_5_SiO2_5_Andreas_3-site17    0.618    5    2    2.822    1.881    -0.628    1.0    0.268    0.894    0.598    0.699    0.795    0.55
CO-MgO_5_SiO2_5_Andreas_3-site22    0.559    5    3    2.822    1.951    -0.597    1.0    0.228    0.577    0.516    0.736    0.428    0.578
CO-MgO_5_SiO2_5_Andreas_3-site23    0.492    5    3    2.822    1.951    -0.576    1.0    0.217    0.437    0.786    0.475    0.451    0.717
CO-MgO_5_SiO2_5_Andreas_3-site24    0.565    5    3    2.822    1.919    -0.633    1.0    0.274    0.47    0.705    0.528    0.589    0.57
CO-MgO_5_SiO2_5_Escatllar-site2    0.638    5    4    3.425    2.068    -0.572    1.0    0.359    0.334    0.438    0.519    0.659    0.389
CO-MgO_5_SiO2_5_Escatllar-site23    0.419    5    4    3.425    2.008    -0.545    1.0    0.283    0.288    0.48    0.677    0.377    0.46
CO-MgO_5_SiO2_5_Escatllar-site4    0.567    5    3    3.425    1.949    -0.597    1.0    0.35    0.318    0.771    0.602    0.331    0.662
CO-MgO_5_SiO2_5_Escatllar-site6    0.622    5    3    3.425    1.987    -0.622    1.0    0.47    0.349    0.646    0.603    0.583    0.597
CO-MgO_5_SiO2_5_Escatllar-site8    0.653    5    4    3.425    2.027    -0.501    1.0    0.39    0.282    0.442    0.529    0.673    0.389
CO-MgO_6_SiO2_3_Andreas_0-site11    0.509    6    3    3.418    1.987    -0.72    2.0    0.262    0.485    0.688    0.552    0.585    0.53
CO-MgO_6_SiO2_3_Andreas_0-site13    0.538    6    3    3.418    1.967    -0.746    2.0    0.293    0.46    0.704    0.527    0.592    0.581
CO-MgO_6_SiO2_3_Andreas_0-site16    0.791    6    3    3.418    2.025    -0.635    2.0    0.46    0.36    0.673    0.561    0.539    0.687
CO-MgO_6_SiO2_3_Andreas_0-site18    0.51    6    3    3.418    1.986    -0.72    2.0    0.263    0.484    0.689    0.552    0.585    0.531
CO-MgO_6_SiO2_3_Andreas_0-site19    0.537    6    3    3.418    1.967    -0.746    2.0    0.292    0.461    0.704    0.527    0.592    0.58
CO-MgO_6_SiO2_3_Andreas_0-site20    0.784    6    3    3.418    2.025    -0.635    2.0    0.459    0.361    0.673    0.56    0.54    0.688
CO-MgO_6_SiO2_3_Andreas_1-site11    0.852    6    3    3.337    2.014    -0.631    2.0    0.5    0.298    0.655    0.622    0.515    0.637
CO-MgO_6_SiO2_3_Andreas_1-site13    0.859    6    3    3.337    2.012    -0.632    2.0    0.506    0.292    0.649    0.63    0.521    0.625
CO-MgO_6_SiO2_3_Andreas_1-site16    0.551    6    3    3.337    1.953    -0.768    2.0    0.329    0.424    0.717    0.524    0.569    0.634
CO-MgO_6_SiO2_3_Andreas_1-site18    0.859    6    3    3.337    2.012    -0.631    2.0    0.498    0.302    0.656    0.62    0.517    0.638
CO-MgO_6_SiO2_3_Andreas_1-site19    0.859    6    3    3.337    2.014    -0.632    2.0    0.509    0.287    0.648    0.633    0.519    0.622
CO-MgO_6_SiO2_3_Andreas_1-site20    0.552    6    3    3.337    1.954    -0.768    2.0    0.333    0.42    0.718    0.527    0.565    0.635
CO-MgO_6_SiO2_3_Andreas_2-site0    0.519    6    4    3.048    1.989    -0.598    2.0    0.417    0.21    0.385    0.672    0.562    0.319
CO-MgO_6_SiO2_3_Andreas_2-site15    0.543    6    3    3.048    1.938    -0.753    2.0    0.357    0.359    0.735    0.592    0.47    0.605
CO-MgO_6_SiO2_3_Andreas_2-site17    0.483    6    4    3.048    2.051    -0.646    2.0    0.401    0.107    0.556    0.517    0.53    0.572
CO-MgO_6_SiO2_3_Andreas_2-site3    0.589    6    3    3.048    2.025    -0.642    2.0    0.472    0.318    0.674    0.604    0.514    0.654
CO-MgO_6_SiO2_3_Andreas_2-site5    0.587    6    3    3.048    2.025    -0.642    2.0    0.471    0.32    0.674    0.602    0.515    0.655
CO-MgO_6_SiO2_3_Andreas_2-site7    0.542    6    3    3.048    1.938    -0.752    2.0    0.355    0.361    0.735    0.59    0.471    0.607
CO-MgO_6_SiO2_3_Andreas_3-site12    0.477    6    4    2.883    2.029    -0.695    2.0    0.299    0.336    0.407    0.693    0.379    0.559
CO-MgO_6_SiO2_3_Andreas_3-site14    0.585    6    3    2.883    1.982    -0.621    2.0    0.465    0.317    0.677    0.609    0.517    0.641
