Samples    property    nMgO    metal_coord    HL_gap    pdos_c    pdos_w    av_d    O_Mc    ratio_Mg_Si_cluster    Q_1    Q_2    Q_3    Q_4    Q_5    Q_6
H-MgO_10_SiO2_5_Andreas_0-site4    1.066    10    3    3.305    -2.759    1.447    1.937    -0.615    2.0    0.667    0.534    0.166    0.627    0.721    0.533
H-MgO_10_SiO2_5_Andreas_0-site7    1.451    10    3    3.305    -2.082    1.425    1.949    -0.643    2.0    0.667    0.576    0.028    0.579    0.763    0.575
H-MgO_10_SiO2_5_Andreas_0-site8    1.512    10    2    3.305    -1.267    1.351    1.789    -0.631    2.0    0.5    0.684    0.503    0.74    0.825    0.664
H-MgO_10_SiO2_5_Andreas_0-site9    1.276    10    3    3.305    -2.499    1.485    1.91    -0.675    2.0    0.667    0.474    0.34    0.621    0.638    0.63
H-MgO_10_SiO2_5_Andreas_1-site0    0.636    10    3    3.039    -3.364    1.443    1.943    -0.7    2.0    0.667    0.468    0.253    0.684    0.669    0.481
H-MgO_10_SiO2_5_Andreas_1-site10    1.0    10    3    3.039    -3.011    1.572    1.893    -0.662    2.0    0.667    0.38    0.453    0.594    0.655    0.631
H-MgO_10_SiO2_5_Andreas_1-site11    1.303    10    3    3.039    -2.65    1.44    1.926    -0.652    2.0    0.667    0.562    0.039    0.599    0.761    0.549
H-MgO_10_SiO2_5_Andreas_1-site14    1.821    10    3    3.039    -1.267    0.799    1.946    -0.938    2.0    1.0    0.475    0.233    0.678    0.687    0.486
H-MgO_10_SiO2_5_Andreas_1-site20    0.928    10    3    3.039    -2.421    1.583    1.882    -0.65    2.0    0.667    0.385    0.438    0.608    0.649    0.629
H-MgO_10_SiO2_5_Andreas_1-site23    1.339    10    2    3.039    -1.735    1.364    1.792    -0.636    2.0    0.5    0.661    0.512    0.77    0.811    0.625
H-MgO_10_SiO2_5_Andreas_1-site24    1.486    10    3    3.039    -2.009    1.44    1.965    -0.642    2.0    0.667    0.581    0.028    0.572    0.763    0.584
H-MgO_10_SiO2_5_Andreas_1-site26    1.249    10    3    3.039    -2.2    1.44    1.939    -0.645    2.0    0.667    0.57    0.052    0.588    0.759    0.565
H-MgO_10_SiO2_5_Andreas_1-site27    1.026    10    3    3.039    -2.311    1.667    1.915    -0.617    2.0    0.667    0.356    0.561    0.391    0.787    0.489
H-MgO_10_SiO2_5_Andreas_1-site28    1.39    10    2    3.039    -1.625    1.426    1.771    -0.603    2.0    0.5    0.642    0.523    0.791    0.795    0.599
H-MgO_10_SiO2_5_Andreas_1-site33    0.779    10    3    3.039    -2.519    1.541    1.887    -0.632    2.0    0.667    0.426    0.356    0.658    0.636    0.587
H-MgO_10_SiO2_5_Andreas_1-site34    1.325    10    2    3.039    -1.281    1.38    1.789    -0.638    2.0    0.5    0.687    0.502    0.737    0.825    0.669
H-MgO_10_SiO2_5_Andreas_1-site5    1.177    10    2    3.039    -1.903    1.407    1.767    -0.673    2.0    0.5    0.586    0.568    0.834    0.725    0.573
H-MgO_10_SiO2_5_Andreas_1-site7    1.175    10    2    3.039    -1.738    1.445    1.752    -0.589    2.0    0.5    0.554    0.602    0.847    0.675    0.597
H-MgO_10_SiO2_5_Andreas_1-site9    1.073    10    3    3.039    -3.159    1.439    1.965    -0.644    2.0    0.667    0.58    0.036    0.573    0.762    0.583
H-MgO_10_SiO2_5_Andreas_2-site1    0.397    10    3    3.311    -2.671    1.5    1.859    -0.667    2.0    0.667    0.306    0.43    0.728    0.522    0.555
H-MgO_10_SiO2_5_Andreas_2-site10    1.102    10    3    3.311    -2.547    1.417    1.902    -0.683    2.0    0.667    0.475    0.25    0.672    0.678    0.509
H-MgO_10_SiO2_5_Andreas_2-site13    1.424    10    2    3.311    -1.6    1.363    1.781    -0.612    2.0    0.5    0.684    0.503    0.74    0.825    0.664
H-MgO_10_SiO2_5_Andreas_2-site16    0.767    10    3    3.311    -2.136    1.541    1.895    -0.692    2.0    0.667    0.244    0.487    0.711    0.495    0.611
